Описание события,Класс (тэг) события,Длительность события (в минутах)
Сделать растяжку,"Спорт, Хобби",15
Сделать зарядку,"Спорт, Хобби",7
Поездка в Волоколамск,"Путешествия, Развлечения",180
Прогулка в Некрополь,Развлечения,120
Зоопарк с детьми,Развлечения,300
Ответить в рабочих чатах,Работа,23
Приготовить ризотто,"Быт, Хобби",36
Посадить рассаду,"Работа, Быт, Хобби",60
Рассадить рассаду,"Работа, Быт, Хобби",60
Обработать цветы,"Работа, Быт, Хобби",15
Внести удобрения в почву для рассады,"Работа, Быт, Хобби",10
Покормить эублефаров,"Быт, Работа",5
Включить лампу для эублефаров,"Быт, Работа",15
Поменять мох у змеи,"Быт, Работа",10
Положить дорожку к дому,"Быт, Работа",120
Показать строителям фронт работ,"Быт, Работа",60
Встреча с прорабом,"Быт, Работа",45
Созвон с дизайнером,"Быт, Работа",50
Выбор обоев,"Быт, Работа",180
Составить график работы на июль,"Работа, Документы",50
Выговор за опоздание (Алехин),Работа,30
Засолка огурцов,Быт,180
Позвонить родителям,Быт,50
Выбрать подарок на годовщину,"Быт, Покупки",20
Подобрать ресторан к празднику,"Быт, Работа",15
Обговорить меню с организатором,"Быт, Работа",40
ЗАГС,"Быт, Работа, Отношения",15
Собрать гостей перед ЗАГСОМ,"Быт, Работа",20
Выбрать кольца,"Быт, Покупки",30
Поездка на чайные плантации,"Путешествия, Развлечения",600
Лекция о видах чая,"Развлечения, Образование",60
Чайная церемония,Развлечения,60
Токио-сити,"Путешествия, Развлечения",600
Шоппинг в магазине манги,"Покупки, Развлечения",100
Выбрать мангу Ване,Покупки,18
Купить сувениры,Покупки,40
Токио зоопарк,"Путешествия, Развлечения",600
Бизнес-встреча,"Встречи, Работа",45
Написать рецензию на книгу,"Образование, Работа",90
Отправить рукопись в издательство,Работа,20
Внести правки от издательства,Работа,50
Написать введение для книги,Работа,90
Выбрать обложку книги,Работа,50
Определиться со стилем текста,Работа,40
Дописать курсовую,Образование,90
Внести в курсовую список литературы,Образование,10
Сдача курсовой,"Образование, Работа",15
Отнести документы на отчисление,Документы,10
Забрать диплом,Документы,7
Выдача дипломов,Документы,30
Репетиция концерта в вузе,"Развлечения, Работа",90
Репетиция танца к свадьбе,Развлечения,60
Антикафе с сурикатами,Развлечения,120
Выбрать модель для проекта,"Работа, Образование",40
Представить работу заказчикам,Работа,60
Тренировка ЗКС Акнара,"Хобби, Работа, Спорт",60
Сдача нормативов на ЗКС,"Хобби, Работа, Спорт",15
Оформить щенков в клубе,"Хобби, Работа, Документы",20
Провести первую вакцинацию (помет Эды),"Хобби, Работа",30
Фотосессия щенков (30 дней),"Хобби, Работа",90
Подготовить коня к фотосессии,Работа,60
Выбрать место для фотосессии,"Работа, Развлечения",30
Отдать щенка зеленая лента хозяевам,"Работа, Встречи",15
Отправить розовую ленту в Краснодар,"Работа, Хобби",50
Осмотр щенков ветеринаром,"Работа, Хобби",60
Помет Эды актирвка,"Работа, Хобби",90
Маникюр,Красота,60
Помыть окна,"Быт, Работа",60
Дезинсекция подвала,"Быт, Работа",55
Сделать массаж,"Быт, Работа",50
Теория по массажу,"Образование, Работа",90
Практика массаж ШВЗ,"Образование, Работа",90
Пара по физиологии,"Образование, Работа",90
Коллоквиум биохимия,"Образование, Работа",90
Экзамен патоморфология,"Образование, Работа",60
Отработка на кафедре,"Образование, Работа",35
Закрыть долг по эпизоотологии,Образование,30
Зачет ветсан,"Образование, Работа",45
Проколоть уши,Красота,12
Пирсинг,Красота,16
Выбрать серьги,Развлечения,20
Обработка швов Роксана,Здоровье,5
Прием после мастектомии (Вайнона),Здоровье,15
Сдать вещи в переработку,Быт,20
Отдать одежду в шеринг,Быт,15
Отвезти мусор в сортировочный центр,Быт,30
Помыть мусор для сдачи в переработку,Быт,14
Рассортировать мусор,Быт,10
Кофе с Ильей,"Встречи, Развлечения, Отношения",15
Разобраться со счетами,"Документы, Быт, Работа",20
Перевести деньги на вклад в втб,Быт,15
Провести презентацию работы,"Работа, Образование",45
Сделать презентацию для пары,"Работа, Образование",60
Зашить носки,Быт,6
Поставить повербанк на зарядку,Быт,2
Конспект по 3 главе,Образование,30
Эссе для пары по философии,Образование,90
Сделать маску для лица,Быт,15
Побриться,Красота,10
Заказать вкусняхи Эйлеру,Покупки,8
Выгулять Ленору,Быт,40
Обработать собак от клещей,Быт,14
Полить цветы,Быт,10
Пройти онлайн - курс по ОКД,Образование,300
Завершить курс по алгоритмам,Образование,180
Домашнее задание по сортировке слиянием,"Образование, Работа",70
Повторить слова для пары,Образование,20
Почистить уши Акна,"Быт, Здоровье",20
Подсричь когти кошкам,Быт,30
Подтянуть скобы на брекетах,Здоровье,40
Установка брекетов,Здоровье,120
Написать черновик отчета,"Образование, Работа",180
Убрать квариту после арендаторов,Быт,120
Заключить договор аренды,"Документы, Работа",20
Сдать квартиру арендодателям,"Встречи, Документы, Работа",30
Отредактировать тест для 200 группы,Работа,10
Чек тестирования 320 группы,Работа,20
Составить бюджет на месяц,"Быт, Работа",20
Выделить ненужные траты в июле,"Быт, Работа",14
Обсудить ненужные траты,"Быт, Встречи, Работа",15
Оптимизировать бюджет,"Быт, Работа",30
Проверить проценты по счету,"Быт, Работа",5
Отменить подписку на кинопоиск,Быт,2
Забрать отца с корпоратива,Быт,20
Отвезти маму на тренировку,Быт,20
Мама шоппинг,"Быт, Покупки, Развлечения",120
Готовка праздничного обеда,"Быт, Работа",120
Затариться продуктами,"Быт, Покупки",60
Обосновать и записать тезис,"Образование, Работа",30
Забронировать билеты на турнир,Покупки,7
Дочитать гарри поттера,"Развлечения, Хобби",60
Посетить встречу книжного клуба,"Развлечения, Хобби",120
Собрать чемодан,Быт,30
Развезти животных перед отъездом,Быт,120
Записать детей в сад,"Документы, Быт ",20
Дети плавание записать,"Документы, Быт",20
Вернуть книги в библиотеку,Быт,20
Оплатить пени за просрочку,Быт,10
Отсканировать паспорта,Документы,10
Распечатать паспорта,Документы,6
Напечатать грамоты детям,"Быт, Работа",6
Скан родословных,Документы,10
Разослать сканы паспортов работодателям,Документы,5
Отослать документы по машине,Документы,5
Редактировать резюме,Документы,10
Добавить в резюме последний опыт работы,Документы,10
Обновить условия по вакансии,Работа,8
Сделать вишлист на новый год,Быт,20
Запросить у друзей вишлисты на нг,Быт,2
Написать список целей на год,"Быт, Хобби",15
Заказать подарки своему отделу,"Покупки, Работа",30
Организовать корпоратив,Работа,60
Купить ёлку,Покупки,40
Украсить ёлку,Быт,20
Рождественский обед с семьей,Встречи,120
Подготовка к новому году,Быт,70
Собрать сборный подарок,Быт,20
Подписать открытки,Быт,20
Семейная встреча,Встречи,120
Питергоф,"Путешествия, Развлечения",600
Метеор (купить билеты),Покупки,7
Ночь Звёздных войн,"Развлечения, Хобби",600
Подкаст Дудя,"Развлечения, Хобби",90
Документалка о вреде алкоголя с 5Б,Работа,60
Тренировка на ноги,Спорт,70
Спортзал ,Спорт,70
Индивидуалка с Оксаной,"Спорт, Работа",90
Групповое занятие (конкур),"Спорт, Работа",120
Медитация,Хобби,10
Утренняя гимнастика,"Спорт, Хобби",15
Дыхательные упражнения,Хобби,10
Практика оказания первой помощи,"Образование, Работа",120
Нарисовать эскиз,"Образование, Хобби",80
Картина по номерам,Хобби,20
Раскрасить эскиз,"Образование, Хобби",60
Пленер на петроградке,"Образование, Хобби",120
Написать натюрморт,"Образование, Хобби",90
Сделать чертеж детали,"Работа, Образование",60
Подписать элементы схемы,"Работа, Образование",15
Обновить кисти,"Покупки, Быт",20
Подготовить холст к работе,"Образование, Хобби, Работа",60
Подготовить басню для вступительных,Образование,90
Репетиция прозы,Образование,90
Выучить таблицу сложностей,Образование,50
Не забыть про ненужную встречу,Встречи,5
Написать Велигуре вопрос по лекции,Образование,10
Ответить преподавателю (Велигура),Образование,10
Снять деньги (100к),Быт,2
Зарезервировать телефон в салоне,Покупки,5
Забронировать беседку на майские,Покупки,5
Выкупить телефон,Покупки,10
Настроить телефон,Быт,40
Настроить резервное копирование,Быт,20
Обновить пароли,"Быт, Работа",20
Проверить корректность паролей,"Быт, Работа",10
Настроить двухфакторную аутентификацию,"Быт, Работа",10
Проверить почту,"Быт, Работа",40
Очистить спам на почте,"Быт, Работа",30
Отправить посылку,Быт,35
Систематизировать папки на ноуте,Быт,20
Скинуть фото в облако,Быт,20
Фотки в общую папку,Быт,10
Удалить ненужные файлы,"Быт, Работа",10
Сделать фото на документы,Документы,15
Сфоткаться для паспорта,Документы,15
Обновить данные в банке,Документы,30
Подать заявление (госуслуги),Документы,15
Запросить документы по задолженностям,Документы,7
Сделать техосмотр,Быт,60
Отогнать машину на стоянку,Быт,40
Перевезти вещи,Быт,120
Пожаловаться на освещение (портал),Быт,20
Помыть машину,Быт,40
Забрать птс на зиккер,Документы,20
Проверить масло и антифриз,Быт,7
Согласовать маршрут,"Работа, Путешествия",15
Алина др,Встречи,60
Годовщина свадьбы,Встречи,120
5 лет знакомства,Встречи,60
Работа,Работа,720
Зайти на озон,Быт,10
Не работать,Работа,620
Отключение воды,Быт,2
Стирка зимней одежды,Быт,60
Убрать зимнюю обувь,Быт,30
Обработать обувь,Быт,15
День ведьмака,Развлечения,600
Написать по поводу работы,Работа,2
Стоматолог,Здоровье,120
Заказать справку в вузе,Документы,10
Провести оплату,"Быт, Работа",10
Концерт,"Развлечения, Работа",180
Лекция по мормлекам,"Образование, Работа",60
Заплатить налоги,"Быт, Работа",20
Зайти в школу 21,Образование,30
Написать дз,"Образование, Работа",20
КТ зубов на ленина,Здоровье,15
Начало приема КОК,Здоровье,2
Дедлайн про проекту,"Работа, Образование",2
Опрос по внб,"Образование, Работа",30
Пора валить (ПЗ),Путешествия ,120
Напомнить о ддл,Работа,2
Собеседование в тинькофф,Работа,60
Техсобес в касперский,Работа,45
Собес с командой и hr ,Работа,40
Тестовое (в сбер),Работа,1200
Пирог с голубикой,"Быт, Хобби",60
Испечь шарлоттку,"Быт, Хобби",30
Приготовить профитроли,"Быт, Хобби",180
Сделать заготовки на неделю,Быт,40
Разделать и заморозить курицу,Быт,15
Обработать швы от плесени,"Быт, Работа",40
Отдать ковры в химчистку,"Быт, Работа",30
Возврат пылесоса,Быт,10
Гендер-пати Полина,"Развлечения, Встречи",30
Эйва срок родов,Здоровье,2
Заменить картридж в фильтре,"Быт, Работа",15
Поменять фрион в кондиционере,"Быт, Работа",20
Покрасить стены,"Быт, Работа, Хобби",300
Сделать выкройку,"Быт, Работа, Хобби",120
Провести ревью,Работа,30
Оформить социалку,"Документы, Быт",40
Получить стипендию,Быт,10
Прикрепиться к поликлинике,"Здоровье, Документы",12
Сделать профиль в LinkedIn,"Работа, Образование",14
Цифровой детокс,"Хобби, Развлечения, Быт",300
Дописать гору на картиине,"Хобби, Развлечения, Работа",120
Подровнять кусты,"Быт, Работа",60
Включить отопление,"Быт, Работа",2
Очистить печь,"Быт, Работа",65
Затопить баню,"Быт, Работа",23
Закупиться для похода,Быт,75
Операция по уменьшению груди,Здоровье,600
Собрать коробки для подарков гостям,"Быт, Работа",20
Разморозить холодильник,"Быт, Работа",120
Собрать клетку для Порко,Быт,12
Померить окно для антикошки,Быт,17
Выезд на охоту,"Хобби, Развлечения",600
Полевые испытание,"Хобби, Развлечения, Работа",240
Смотр гончих,"Хобби, Развлечения, Работа",240
Кормление альпак,"Хобби, Развлечения, Работа",20
Стрижка лам,"Работа, Быт",120
Груминг Олли,"Быт, Работа",180
Грузчики холодильник,Быт,20
Тренинг енотов,"Быт, Работа",15
Спустить бассейн,"Быт, Работа",10
Выкопать чеснок,Быт,20
Отнести лук на чердак,Быт,12
Документация по библиотеке,"Документы, Работа",300
Unit-тесты для класса,Работа,120
Обновить зависимости проекта,Работа,20
Подшить шторы,"Быт, Работа",15
Повесить карнизы,"Быт, Работа",20
Стекление балкона,"Быт, Работа",300
Дописать документацию к проекту,"Документы, Работа",120
Написать readme на гитхабе,"Документы, Работа",80
Переписать legacy,Работа,600
Отвезти кондиционер в ремонт,"Быт, Работа",30
Забрать кондиционер из ремонта,"Быт, Работа",30
Просмотр квартиры,"Быт, Работа",40
Приемка квартиры,"Быт, Работа",60
Девочки бар,"Развлечения, Встречи",180
Отдать подарки (Тимьяновы),Быт,20
Поднять стол для Сони,Быт,3
Вернуть термос (Олега),Быт,3
Приклеить плинтусы,"Быт, Работа",20
Отскаблить следы клея в зале,"Быт, Работа",30
Пересадить рассаду,"Быт, Работа",40
Пасынковать яблоню,"Быт, Работа",10
Поставить в сушилку белые грибы,Быт,18
Дать Рейнис глистогонку,Здоровье,3
Запушить изменения в develop,Работа,2
Обновить .gitignore,Работа,12
Рефакторинг giga.cpp файла,Работа,18
Проверить покрытие,Работа,4
Увеличить покрытие тестами,Работа,20
Одобрить изменения Энни,Работа,10
Сравнить код Элис и Леноры,Работа,40
Клуб с шабашкой,"Развлечения, Встречи",120
5 уроков на степике,"Образование, Работа",80
Закрыть бассейн,"Быт, Работа",25
Уволить Андрея,Работа,35
Внести правки в файл,Работа,30
Засыпать землей яму,"Быт, Работа",20
Огородить куриный загон,"Быт, Работа",60
Перебрать двигатель,"Быт, Работа",70
Выбросить двигатель,"Быт, Работа",2
Позвонить абитуриенту 43234,Работа,15
Разогреть варенье,Быт,5
Перезалить код,Работа,10
Автоматизировать написание тестов,Работа,30
Ампутация лапы Элли,Здоровье,540
Купить алкоголь для защиты,Покупки,30
Аллергопроба Никита,Здоровье,10
Альбомы детям (купить),Покупки,15
Античность лекция в 404,"Образование, Работа",90
Айка рентген артрита,Здоровье,50
Логопед ,Образование,60
Аттестация на медсестру,Образование,120
Подготовить ацетаты,Работа,90
Азербайджан делегация (сопроводить в гостиницу),"Работа, Встречи",180
Аспирантуры защита работ,"Образование, Работа",180
Аэродинамика практика,"Образование, Работа",90
Адаптировать презентацию для ветсанов,Работа,30
Аккредитация на конференции,Работа,14
Перевести курсовую на английский,Образование,90
Выучить 20 новых слов на китайком,Образование,70
Анкетирование инженеров,Работа,10
Аппеляция в суде,Работа,90
Апробировать докуметацию для релиза,Работа,30
Арендовать машину,"Быт, Покупки",10
Заасфальтировать подъезд к участку,"Быт, Работа",120
Сбалансировать рецепт бешамеля,"Хобби, Работа, Быт",50
Барабаны (урок),"Образование, Хобби",60
Бег (тренировка с Лизой),"Спорт, Хобби",60
Побелить печку,"Работа, Быт",70
Второй скрининг,Здоровье,20
Перебинтовать рану Беспаловой,Здоровье,10
Обновить дренаж,Здоровье,20
Церковь (служба),"Хобби, Развлечения",35
Заблокировать проезд для большегрузов,"Быт, Работа",60
Бокс с Антоном,Спорт,65
Сообщить о браке партии,Работа,12
Побрить овец,Работа,120
Сбрить колтуны у колли,"Работа, Быт",45
Бурение скважины,"Работа, Быт",120
Музей Дарвина,Развлечения,180
Форматировать документацию под гост,"Работа, Образование",60
Заварить чай от Вани,Быт,2
"Раньше лечь спать, а то завтра соревнования",Быт,2
Стерилизовать банки,Быт,12
Сжечь листья,Быт,20
Перетереть малину для джема,Быт,20
Лепим пельмени,"Быт, Хобби",60
Варим том ям,"Быт, Хобби",70
Нарвать клевер для кроликов,Быт,15
Покосить траву за домом,Быт,15
Снять влог,"Работа, Развлечения, Хобби",120
Проверить лекарства по срокам годности,Быт,10
Дать фидбек Ийсмуловой И.Ф.,Работа,20
Набрать воду (отключат до 22 часов),Быт,10
Передать корм волонтерам,Быт,10
Распродать олины саженцы,Быт,2
Выставить на авито санки,Быт,8
Развесить гирлянды,Быт,20
Обновление гардероба,"Быт, Покупки",70
Примерить новое седло,Быт,10
Сделать промеры дверного проема,Быт,7
Перебрать картошку,Быт,30
Приезд родителей,Встречи,20
Посмотреть пчк,Развлечения,90
Свидание с Леной,Отношения,120
Знакомство с родителями,Встречи,80
Сочи парк,Развлечения,300
Океанариум,Развлечения,300
Погулять по парку,"Развлечения, Хобби",120
Подобрать очки,Здоровье,40
Сделать кормушку для птиц,"Быт, Хобби",50
Ввести творог в рацион щенков,Быт,10
Забрать ведомость,"Документы, Работа",10
Венчание,Отношения,40
Взвешивание щенков,Быт,15
Перекрыть воду,Быт,2
Вклеить анализы в мед карту,"Документы, Здоровье",5
Заложить второй вход,Быт,120
Перевернуть яйца во втором инкубаторе,"Быт, Работа",10
Проверить яйца в овоскопе,"Быт, Работа",15
Вокал,"Работа, Хобби",60
Сплав по реке,Хобби,120
Отдых,Быт,40
Перевернуть матрац,Быт,5
Выварить скелет,"Работа, Хобби",100
Выделить частые ошибки в тесте,"Работа, Образование",10
Выкроить шаблон,"Работа, Образование, Хобби",30
Вылет из Шереметьево,Путешествия ,100
Москва - Пекин (самолет),Путешествия ,1140
Саратов - Воронеж (автобус),Путешествия ,660
Вынести кроликов (до обеда),"Работа, Быт",15
Выпрямить вмятину на правом крыле,Быт,30
Распутать гирлянды,Быт,20
Проверить ровность стен,"Работа, Быт",10
Посеять редис,Быт,10
Перетянуть лук,Хобби,20
Вычесать собак,Быт,100
Написать рекомендацию Оле,Работа,30
Прикрутить полку,"Быт, Работа",20
Насверлить отверстий для картин,"Быт, Работа",12
Лепка из глины,"Хобби, Работа ",120
Пазлы с Никитой,Хобби,180
Вышивка,Хобби,60
Вязание,Хобби,45
Lego по star wars,Хобби,100
Сериал (доктор хаус),Хобби,120
PS it takes two,"Хобби, Развлечения",180
Кино с Аленой,"Развлечения, Встречи",120
Велопрогулка,"Хобби, Развлечения",240
Экотропа Лосиный остров,"Хобби, Развлечения",200
Звездопад (не забыть телескоп),"Хобби, Развлечения",100
Хачапури с Сашей,Встречи,70
Написать письмо деду морозу с Ниной,Быт,20
Вечер dnd ,"Хобби, Развлечения",300
Вечер настолок,"Хобби, Развлечения",300
stund up Чебатков,Развлечения,120
Концерт по атаке титанов,Развлечения,120
ТЮЗ горе от ума,Развлечения,95
Скалодром на Складочной 5,Развлечения,45
Зумба,"Развлечения, Спорт",80
Аквапарк,Развлечения,300
Квест комната с Вронскими,Развлечения,120
Москвариум,Развлечения,240
Составить плейлист в дорогу,Быт,40
Ночь в зоопарке,Развлечения,120
Проверить дз у Саши,"Работа, Быт",45
Подготовить овощи для мимозы,Быт,60
Купить подарки учителям,Покупки,80
Корпоратив,"Развлечения, Встречи",180
Шашлыки на пляже,"Развлечения, Встречи",240
Подготовиться к релизу,Работа,100
Наращивание ресниц,Красота,60
Наращивание волос,Красота,100
Кератиновое выпрямление,Красота,120
Химическая завивка,Красота,60
Педикюр,Красота,40
Лазерная депиляция,Красота,60
Красимся в рыжий,Красота,45
Сделать туннели,Красота,30
Пирсинг языка,Красота,30
Поделка из природного материала,Хобби,60
Поездка на Медовые водопады,Путешествия ,240
Госпитализация,Здоровье,5760
Диспансеризация,Здоровье,240
Медосмотр для 086у,Здоровье,60
Удаление вросшего ногтя,Здоровье,240
Встретить Гудка,"Встречи, Работа",20
Обработать корни орхидеи,"Быт, Хобби",15
Отпарить рубашку,Быт,5
Раздать сувениры,"Быт, Встречи",15
Измерение сахара,Здоровье,3
Принять атаракс,Здоровье,2
"Таблетки (димиа, магний)",Здоровье,2
Переоформить заказ,"Быт, Работа, Покупки",10
Инвентеризация,Работа,600
Оформить сцену,Работа,120
Получить декорации,Работа,25
МРТ,Здоровье,15
Донорство,Здоровье,30
Сделать карэ,Красота,50
Провести квиз по пчк,"Развлечения, Работа",120
Поточить ножи,Быт,10
Смазать двери,Быт,7
Нарубить дрова,"Быт, Работа",50
Отобрать посуду для дачи,Быт,23
Собрать сливу на варенье,Быт,45
Забрать детей из школы,Быт,40
Обновить ПО,"Быт, Работа",20
Установить VPN,"Быт, Работа",25
Перетянуть когтеточку,Быт,35
Установить когтеточку,Быт,40
Повесить кошачий гамак,Быт,10
Вольтижировка,"Спорт, Хобби",60
Отдать старые игрушки,Быт,20
Оцифровтаь старые фотографии,Быт,60
Обновить аптечку,Здоровье,20
Оплатить интернет,"Быт, Работа, Покупки",5
Заверить завещание,Быт,30
Вставить розетку,Быт,10
Разобрать медали и отдать ненужные,Быт,15
Поменять батарейки в детекторах дыма,"Быт, Работа",30
Купить стеклянные контейнеры,Покупки,10
Посадить микрозелень,"Быт, Хобби",15
Срубить тополь,"Быт, Работа",80
Привинтить кронштейн,"Быт, Работа",20
Врезать кошачью дверцу во входную дверь,"Быт, Работа",25
Вернуть вентилятор на веранду,Быт,7
Верстка статьи,Работа,60
Залить чистящее средство в кофеварку,"Быт, Работа",4
Взбить сливки,"Быт, Работа",5
Внести последний платеж по ипотеке,"Быт, Покупки",7
Перегнать коней на второе поле,"Быт, Работа",25
Выпустить стрижа,Быт,5
Восстановить пароль,Быт,7
Антибиотики (начало),Здоровье,2
Заселение в гостиницу,"Путешествия, Работа",10
Выселение из гостиницы,"Путешествия, Работа",5
Регистрация на рейс (онлайн),Путешествия,2
Заезд в санаторий,"Путешествия, Здоровье",10
Выезд из санатория,"Путешествия, Здоровье",10
Проветривание в курятнике,Быт,30
Генеральная уборка,"Быт, Работа",120
Помыть морозилку,"Быт, Работа",30
Взвеситься,"Быт, Здоровье",3
Выдать накладные приемщикам,Работа,3
Выдать зп и премиальные,Работа,15
Вывесить флаг pride month,Быт,3
Выжигание по дереву,Хобби,40
Приварить петли к воротам,"Быт, Работа",20
Выкорчевать пень от яблони,"Быт, Работа",30
Вылущить орехи,Быт,45
Рыбалка с Павловым,Хобби,180
Перекрасить печку,"Быт, Работа",60
Выгравировать телефон на адреснике,"Быт, Работа",20
Перелить вино в бутылки,"Быт, Работа",25
Вскопать грядки,Быт,120
Утеплить виноград,Быт,40
Замотать яблони от вредителей,"Быт, Работа",60
Вкопать опоры для беседки,"Быт, Работа",70
Вытащить зимние куртки,Быт,10
Проредить гриву Энни,Быт,15
Удаление папилломы у Райли,Здоровье,40
Шпаклевать стену в гостиной,"Быт, Работа",100
Замариновать мясо,Быт,20
Зацементировать фундамент,"Быт, Работа",180
Процедить вино от осадка,"Быт, Работа, Хобби",10
Фторирование зубов,Здоровье,30
Отбеливание зубов,Здоровье,35
Нафаршировать перцы,Быт,20
Дорадо,Быт,60
Паста помодоро,Быт,45
Фо бо,Быт,100
Греческий салат,Быт,30
Оладьи,Быт,25
Кабачковая икра,Быт,50
Борщ,Быт,60
Компот,Быт,40
Рататуй,Быт,55
Финишировать проект,"Работа, Образование",2
Формализовать заявление,"Документы, Работа",15
Сформировать заказ,"Работа, Быт",30
Фехтование (тренировка),Спорт,90
Убавить термостат,Быт,2
Уварить смесь,Быт,30
Включить увлажнитель,Быт,2
Украсить офис к рождеству,Развлечения,20
Уколоть Каспера (физик + антиб),Здоровье,10
Укрыть виноград,"Быт, Работа",30
Улучшить рецепт рататуя,Быт,40
Уменьшить температуру в инкубаторе,"Быт, Работа",2
Увести щенков во внутренний вольер,Быт,10
Упаковать столовые приборы,"Быт, Работа",25
Убрать тыквы на балкон,Быт,15
Увеличить высоту барьеров на 5 см,"Работа, Спорт",6
Распределить зп по вкладам,Быт,20
Зафиксировать утечки и уязвимости кода,"Работа, Образование",20
Ушить джинсы,Быт,10
Утилизировать органические отходы,Быт,30
Замена окон на террасе,"Быт, Работа",120
Изменить режим тренировок,"Спорт, Работа",2
Трансплантология (лекция),"Образование, Работа",90
Потрать бонусы,Быт,10
Обналичить сертификат,Быт,20
Проверить качество работы,Работа,30
Апрувнуть кандидата 34,Работа,5
Вынести на совещании вопрос о премиях,Работа,10
Поднять тему дискриминации,Работа,15
Получить дебетовую карту,Быт,10
Заблокировать карту,Быт,5
